num	sa	year	doc	SDG_1	SDG_2	SDG_3	SDG_4	SDG_5	SDG_6	SDG_7	SDG_8	SDG_9	SDG_10	SDG_11	SDG_12	SDG_13	SDG_14	SDG_15	SDG_16	SDG_17	Filter							doc	StatApp	year
101	sa	2017	India_2017-sa	0.025842596	0.043403662	0.028078396	0.014030879	0.0424822	0.025653723	0.021196844	0.019032992	0.031010968	0.008425863	0.009855012	1.04E-06	0.066574042	0.036915835	0.026873805	9.98E-04	0.141529692	0.458094734							Canada_2018		2018
34	sa	2017	Indonesia_2017-sa	0.03173249	0.046517967	0.067814415	0.013549593	0.080039221	0.013227632	0.009083513	0.005221051	0.035582116	0.009819575	0.014907606	0.022505143	0.030805569	0.043168143	0.004265299	0.01407303	0.10754576	0.450141877							Qatar_2018		2018
19	sa	2018	Ireland_2018-sa	0.014042685	0.021739467	0.017967846	0.035185301	0.044985021	0.022108716	0.025874356	0.040884474	0.013593378	0.011484626	0.030672497	0.036974188	0.071028281	0.031115153	0.036648345	0.028121082	0.074393937	0.443180647							Zimbabwe_2017		2017
122	sa	2017	Italy_2017-sa	0.016757134	0.068760528	0.015855103	0.045434238	0.05115182	0.034365493	0.007505825	0.071360786	0.034045535	0.015950378	0.056518966	0.057467986	0.026334709	0.039364833	0.0644381	0.018143471	0.028718264	0.347826831							Bahamas_2018		2018
30	sa	2018	Jamaica_2018-sa	0.017540991	0.015790536	0.025428396	0.054370024	0.017703633	0.018824191	0.030850746	0.030211127	0.020823232	0.009512895	0.041987482	0.028369876	0.07349169	0.020155091	0.028009368	0.024130298	0.11308936	0.429711064							Singapore_2018		2018
47	sa	2017	Japan_2017-sa	0.008077994	0.012291443	0.015985967	0.017261663	0.028231805	0.026846539	0.008066403	0.020733655	0.012047399	0.012957041	0.036595781	0.045680789	0.095621938	0.023927797	0.032003359	0.020178429	0.123574479	0.45991752							Sri_Lanka_2018	sa	2018
0	sa	2017	Jordan_2017-sa	0.02009962	0.013504074	0.019940158	0.037701414	0.033637522	0.028140304	0.023408015	0.062676562	0.011630627	0.007141693	0.019367711	0.021557452	0.07266503	6.73E-07	1.95E-04	0.037603388	0.110083807	0.480646635							Switzerland_2018		2018
83	sa	2017	Kenya_2017-sa	0.027270404	0.025561735	0.047887662	0.055895906	0.050838462	0.025009859	0.014229231	0.032074438	0.023423496	0.004976141	0.059090594	0.010813587	0.0540346	0.010537163	0.018293353	0.029984553	0.100822808	0.409256008							Nigeria_2017		2017
9	sa	2018	Kiribati_2018_with_statistical_annex	0.015227366	0.0281063	0.059652977	0.084598116	0.044932335	0.034105852	0.011502486	0.039747935	0.011477819	0.004293521	0.030607076	0.019158433	0.044181236	0.036909613	0.02717152	0.034678669	0.070229211	0.403419537							Poland_2018		2018
7	sa	2018	Kiribati_2018-sa	0.016007955	0.02832313	0.059672251	0.085773818	0.043130234	0.033315626	0.010639983	0.039839486	0.011593462	0.004813913	0.030978097	0.020367864	0.043925858	0.03641813	0.026463207	0.036085657	0.071433824	0.401217504							Jamaica_2018	sa	2018
119	sa	2018	Lao_2018-sa	0.020762321	0.025634667	0.035224147	0.04920929	0.042571847	0.028683574	0.017671737	0.046384602	0.0105027	0.007465718	0.027206266	0.019815495	0.062557935	0.018073994	0.03978969	0.023256028	0.089857911	0.435332079							Portugal_2017	sa	2017
89	sa	2018	Latvia_2018-sa	0.011972835	0.011116619	0.028492541	0.039902948	0.036776322	0.009188346	0.024668985	0.038137997	0.02654938	0.015898331	0.041763239	0.048535595	0.047072494	0.025530108	0.026419407	0.024285089	0.07876493	0.464924834							Cabo_Verde_2018	sa	2018
48	sa	2018	Lebanon_2018-sa	0.014955631	0.012859602	0.016078646	0.042515665	0.030191204	0.024221245	0.01930539	0.056001709	0.021338095	0.01343301	0.045213966	0.024564358	0.058892097	0.022698937	0.031980175	0.044793484	0.089066672	0.431890115							Kiribati_2018		2018
67	sa	2018	Lithuania_2018-sa	0.011942254	0.005357126	0.054584323	0.074633004	0.023942653	0.029366678	0.023798267	0.053223945	0.03442044	0.017576189	0.035895674	0.045672121	0.032051119	0.018531448	0.050460585	0.041851025	0.062056891	0.384636258							Indonesia_2017	sa	2017
112	sa	2017	Malaysia_2017-sa	0.013707725	0.026119646	0.018671967	0.028677639	0.019949909	0.008567807	2.16E-06	0.031880376	0.036621848	0.011297418	0.020967853	0.02978176	0.044903448	0.054013801	0.079859652	2.99E-04	0.123556771	0.451121597							Slovenia_2017		2017
71	sa	2017	Maldives_2017-sa	0.010622119	0.018666253	0.018212592	0.051390745	0.036323017	0.036859251	0.018174294	0.012913525	0.012141352	0.016194754	0.029956299	0.023569808	0.057284153	0.058626304	0.016313334	0.02493411	0.090262168	0.467555921							Sudan_2018	sa	2018
80	sa	2018	Malta_2018-sa	0.003671071	0.007044396	0.02623806	0.048356311	0.031872904	0.02953912	0.044311438	0.05340114	0.019844393	0.015074602	0.035945021	0.044666194	0.062324023	0.059955084	0.024862423	0.01757689	0.052307285	0.423009644							Azerbaijan_2017		2017
100	sa	2018	MEXICO_2018-sa	0.018588072	0.019783575	0.016766146	0.058880062	0.053219923	0.020964407	0.021990313	0.0597264	0.025186737	6.07E-04	0.045884615	0.013439986	0.046791869	0.025674049	0.044491078	0.032162975	0.102617834	0.393224461							Azerbaijan_2017	sa	2017
107	sa	2018	Namibia_2018-sa	0.043395358	0.05505259	0.033699136	0.077374048	0.038961842	0.0318013	2.90E-06	0.027685877	0.019523022	9.66E-07	0.024720034	0.014276041	0.022973041	0.021088792	0.034531058	0.026635602	0.064963555	0.463314836							Tajikistan_2017	sa	2017
50	sa	2017	Nepal_2017-sa	0.021211686	0.033372548	0.055085254	0.059950544	0.036490228	0.01093531	3.10E-04	0.021895185	0.030758166	0.011618718	0.012163923	0.021754638	0.031556743	7.73E-07	0.004404672	0.017588412	0.14621025	0.484692941							Togo_2017		2017
65	sa	2017	Netherlands_2017-sa	9.73E-04	0.016390796	0.003648193	0.019942447	0.027715713	0.026298715	0.035394893	0.039638367	0.009875234	0.014076788	0.031565332	0.031639978	0.073176624	0.029400589	0.024953798	0.027321156	0.108227139	0.479761498							Romania_2018		2018
99	sa	2017	Nigeria_2017-sa	0.028924455	0.032907715	0.042182012	0.054574104	0.070708813	0.014162578	0.003966791	0.039998068	0.020323845	0.001478994	0.010765302	0.014353623	0.035154251	0.00674391	0.015659029	0.028205778	0.143607398	0.436283334							Lao_2018		2018
49	sa	2018	Palestine_2018-sa	0.017538464	0.032791591	0.021679757	0.039408673	0.024876216	0.039439891	0.023155729	0.039908148	0.010129028	0.009990723	0.059580904	0.019343138	0.042867324	0.021940612	0.034259392	0.045025839	0.052895103	0.465169466							Hungary_2018		2018
